OBJECTID,COUNTRY,HDI_Rank_2019,HDI_2019,Life_expectancy_at_birth_inYear,Expected_years_of_schooling_201,Mean_years_of_schooling_2019,GNI_per_capita_2019,HDI_Rank_2018,HDI_2000,HDI_2010,HDI_2018
32,Barbados,56,0.813,79.1,15.2,10.6,15912,56,0.771,0.799,0.813
33,Belize,103,0.72,74.5,13.1,9.8,7136,103,0.643,0.693,0.72
34,Bermuda,,,,,,,,,,
35,Bonaire,,,,,,,,,,
36,British Virgin Islands,,,,,,,,,,
37,Cayman Islands,,,,,,,,,,
38,Colombia,79,0.761,77.1,14.6,8.3,12896,79,0.662,0.729,0.761
39,Costa Rica,68,0.794,80.1,15.4,8.7,14790,68,0.711,0.754,0.794
40,Cuba,72,0.778,78.7,14.4,11.8,7811,72,0.686,0.776,0.778
41,Curacao,,,,,,,,,,
42,Dominica,98,0.724,78.1,13,7.8,9245,98,0.694,0.733,0.724
43,Dominican Republic,89,0.745,73.9,14.1,7.9,15074,89,0.653,0.701,0.745
44,French Guiana,,,,,,,,,,
45,Grenada,78,0.763,72.4,16.6,8.8,12684,78,..,0.743,0.763
46,Guadeloupe,,,,,,,,,,
47,Guyana,123,0.67,69.8,11.5,8.5,7615,123,0.606,0.639,0.67
48,Haiti,169,0.503,63.7,9.5,5.4,1665,169,0.44,0.467,0.503
49,Honduras,132,0.623,75.1,10.2,6.6,4258,132,0.555,0.598,0.623
50,Jamaica,96,0.726,74.4,13.1,9.8,7932,96,0.669,0.723,0.726
51,Martinique,,,,,,,,,,
52,Montserrat,,,,,,,,,,
53,Nicaragua,126,0.651,74.3,12.2,6.8,4790,126,0.568,0.614,0.651
54,Panama,67,0.795,78.3,12.9,10.2,20455,67,0.719,0.758,0.795
55,Puerto Rico,,,,,,,,,,
56,Saba,,,,,,,,,,
57,Saint Barthelemy,,,,,,,,,,
58,Saint Eustatius,,,,,,,,,,
59,Saint Kitts and Nevis,73,0.777,74.6,13.6,8.5,26770,73,..,0.747,0.777
60,Saint Lucia,89,0.745,76.1,13.9,8.5,11528,89,0.694,0.73,0.745
61,Saint Martin,,,,,,,,,,
62,Saint Pierre and Miquelon,,,,,,,,,,
63,Saint Vincent and the Grenadines,94,0.728,72.4,13.6,8.6,11746,94,0.674,0.711,0.728
64,Sint Maarten,,,,,,,,,,
65,Suriname,98,0.724,71.6,12.9,9.1,11933,98,..,0.701,0.724
66,Trinidad and Tobago,63,0.799,73.4,13,11,28497,63,0.721,0.788,0.799
67,Turks and Caicos Islands,,,,,,,,,,
68,US Virgin Islands,,,,,,,,,,
69,Venezuela,,,,,,,,,,
70,Burkina Faso,182,0.434,61.2,8.9,1.6,1705,182,0.286,0.375,0.434
71,Cabo Verde,126,0.651,72.8,11.9,6.2,6513,126,0.564,0.626,0.651
72,Côte d'Ivoire,165,0.516,57.4,9.6,5.2,3589,165,0.407,0.454,0.516
73,Gambia,174,0.466,61.7,9.5,3.7,1490,174,0.382,0.437,0.466
74,Ghana,142,0.596,63.8,11.5,7.2,4099,142,0.483,0.554,0.596
75,Gibraltar,,,,,,,,,,
76,Guinea,174,0.466,61.2,9,2.7,2211,174,0.335,0.408,0.466
77,Guinea-Bissau,178,0.461,58,10.5,3.3,1593,178,..,0.426,0.461
78,Liberia,176,0.465,63.7,9.6,4.7,1040,176,0.422,0.441,0.465
79,Mali,184,0.427,58.9,7.6,2.4,1965,184,0.308,0.403,0.427
80,Mauritania,161,0.527,64.7,8.5,4.6,3746,161,0.446,0.49,0.527
81,Morocco,121,0.676,76.5,13.1,5.5,7480,121,0.531,0.618,0.676
82,Portugal,40,0.85,81.9,16.3,9.2,27935,40,0.785,0.822,0.85
83,Senegal,166,0.514,67.7,9,3.1,3256,166,0.39,0.468,0.514
84,Sierra Leone,181,0.438,54.3,10.2,3.6,1381,181,0.298,0.391,0.438
85,Greenland,,,,,,,,,,
86,Guernsey,,,,,,,,,,
87,Ireland,3,0.942,82.1,18.8,12.5,55660,3,0.857,0.89,0.942
88,Isle of Man,,,,,,,,,,
89,Jersey,,,,,,,,,,
90,United Kingdom,15,0.92,81.2,17.4,13,39507,15,0.867,0.905,0.92
91,Iceland,6,0.938,82.9,19.2,12.5,47566,6,0.861,0.892,0.938
92,Faroe Islands,,,,,,,,,,
93,Svalbard,,,,,,,,,,
94,Bouvet Island,,,,,,,,,,
95,New Zealand,14,0.921,82.1,18.8,12.7,35108,14,0.87,0.899,0.921
96,Angola,149,0.574,60.8,11.8,5.1,5555,149,0.394,0.51,0.574
97,Botswana,94,0.728,69.3,12.7,9.3,15951,94,0.578,0.66,0.728
98,Burundi,185,0.423,61.2,11.3,3.1,660,185,0.293,0.402,0.423
99,Comoros,156,0.538,64.1,11.2,4.9,2426,156,0.457,0.513,0.538
100,Congo,138,0.608,64.3,11.6,6.5,5804,138,0.495,0.557,0.609
101,Congo DRC,,,,,,,,,,
102,Gabon,115,0.702,66.2,12.9,8.3,15794,115,0.627,0.658,0.702
103,Kenya,147,0.579,66.3,11.1,6.6,3052,147,0.446,0.533,0.579
104,Lesotho,164,0.518,53.7,10.7,6.3,3244,164,0.444,0.461,0.518
105,Malawi,172,0.485,63.8,11,4.6,1159,172,0.362,0.437,0.485
106,Juan De Nova Island,,,,,,,,,,
107,Mozambique,180,0.446,60.2,9.7,3.5,1154,180,0.301,0.396,0.446
108,Namibia,130,0.645,63.4,12.6,6.9,9683,130,0.543,0.588,0.645
109,Rwanda,157,0.536,68.7,11.2,4.4,1959,157,0.337,0.488,0.536
110,Sao Tome and Principe,137,0.609,70.2,12.7,6.4,3024,137,0.48,0.546,0.609
111,South Africa,113,0.705,63.9,13.7,10.2,11756,113,0.629,0.662,0.705
112,Eswatini,,,,,,,,,,
113,Tanzania,,,,,,,,,,
